GEITje_corr_score,GEITje_wrong_score,GEITje_right
-3.5854686311868136,-3.956809406501374,True
-3.5391588596103247,-3.6388829270998637,True
-2.98692672827134,-3.3799084263543286,True
-3.1347715372620666,-3.3103718123782206,True
-3.305929701063125,-3.53523787582526,True
-3.2498159205773844,-3.486612122138276,True
-2.4317078448445746,-2.769765800474921,True
-3.335453257604968,-4.434758174419403,True
-2.936430919655742,-3.176116922525883,True
-3.2470058976184752,-3.6217769701920806,True
-3.3198920694412664,-3.7516836003487697,True
-3.322716104029678,-3.507736369335492,True
-3.082266477274797,-3.4568255680746267,True
-3.082266477274797,-3.670926807075739,True
-3.3890887617631558,-3.5178433490347945,True
-2.8078253963888673,-3.482323447268249,True
-3.6481480252929033,-3.7022730307187883,True
-3.1515766665383818,-3.557527895923704,True
-2.91627150198393,-3.6015048523040605,True
-3.4668803167421305,-4.592249784502201,True
-3.873618752261003,-4.056705484482726,True
-2.9918829320537808,-3.4199464413857856,True
-3.7950859825437266,-4.2420796786568,True
-3.097726317711931,-3.4394203909672796,True
-3.300979797740614,-3.7225449595652105,True
-3.7342549082157865,-4.54341688265021,True
-3.7927760725948385,-4.5587242199108005,True
-5.179586087663968,-5.882783878933299,True
-2.652437119559512,-3.533510211370109,True
-3.9259687311608684,-4.39227730454877,True
-3.9259687311608684,-4.479897994886745,True
-3.9259687311608684,-4.151326522231102,True
-4.130309360855747,-4.60569322113879,True
-3.3161670503516993,-3.4344834896516714,True
-2.9148567253878963,-3.366115909302607,True
-3.1528811897483786,-3.886513441801071,True
-2.8858030370285954,-3.558597701555118,True
-3.7320985243589218,-4.68752332450822,True
-3.1567224556387043,-4.094852616570683,True
-3.5450407644112905,-5.070494829318845,True
-3.5268408435263803,-3.744718052322666,True
-3.5268408435263803,-3.964575581252575,True
-3.5268408435263803,-3.6688190257487197,True
-3.0433637597598135,-3.539347489090527,True
-2.9773092825897036,-3.6930192365044996,True
-2.558549525038175,-3.4071067230106564,True
-3.587787665426731,-3.8386583840474486,True
-3.138399044850043,-4.223474591142601,True
-3.138399044850043,-3.672182065124313,True
