BERTje_corr_score,BERTje_wrong_score,BERTje_right
-6.656262802994913,-8.304807309061289,True
-4.971112204981702,-6.219124463315193,True
-4.706900435897599,-6.368389392017641,True
-4.3975984416902065,-5.241865679113702,True
-3.2419607459257045,-4.582554152808511,True
-4.870078085747082,-7.109109668061137,True
-4.395910305553116,-6.1336271704307626,True
-4.597245969942638,-6.675600714981556,True
-7.024402224769195,-6.587230855169205,False
-7.024402224769195,-7.49492607681224,True
-7.024402224769195,-6.389881098243807,False
-4.165779831420098,-5.7498532103804445,True
-5.205263873296125,-6.3550260826372185,True
-4.476508197180617,-7.962766980583018,True
-7.99767336369093,-11.131880434850851,True
-6.073954344476358,-6.378482484444976,True
-6.073954344476358,-7.50659810770303,True
-6.082380064763129,-9.179251625668257,True
-6.31076051783748,-10.373259544372559,True
-6.846222087740898,-8.977740950054592,True
-5.871949844155461,-6.60883201445852,True
-8.342350026592612,-10.067878385384878,True
-8.207010938652925,-10.72449799378713,True
-6.294656558997101,-9.791995882987976,True
-6.041420973138884,-8.868965723684855,True
-6.0159877833211794,-9.598193994590215,True
-9.209942710452847,-10.102362712224325,True
-7.829137621181352,-9.90222978591919,True
-5.279122149106115,-9.109341480769217,True
-5.524565949570388,-7.470683172345161,True
-5.875522289425135,-5.832980328798294,False
-5.629125791369006,-5.459214133583009,False
-6.268735332065262,-7.689736418426037,True
-6.011742885321534,-6.828793666739431,True
-4.8579773993244295,-6.084780061617494,True
-6.116566699463874,-8.941612976137549,True
-4.512709274060196,-6.401822523938285,True
-6.558795352932066,-8.406133025884628,True
-6.43394688423723,-7.822260265238583,True
-8.082396881375463,-8.92005468318239,True
-5.3161128217147455,-7.112547207934161,True
-5.626608067192137,-7.412383500486612,True
-6.166486538248137,-7.684452958405018,True
-5.852233400335535,-5.145946377888322,False
-6.88051221200398,-9.102755336297882,True
-4.512162631894979,-7.329930259713104,True
-4.512162631894979,-6.8537278175354,True
-6.483552714543683,-10.100523653129736,True
-6.869650408093419,-9.135351746653518,True
-7.60557672487838,-12.233833059668541,True
-5.3051589092550175,-7.104543916881084,True
-8.606463591169033,-11.285880252718925,True
-7.353312142193317,-11.424599713335434,True
-7.853750043149505,-11.04148468375206,True
-6.736752640455961,-10.88330444569389,True
-7.857584899557488,-9.121095220247904,True
-6.474633813436542,-8.27833992894739,True
-5.056748133851215,-5.1713534109294415,True
-5.903104159515351,-5.723531241156161,False
-5.854758996050805,-8.37975830747746,True
-5.300999053521082,-8.37589556002058,True
-4.488308194610807,-6.857619570050803,True
-5.6259491633623835,-7.345898964069784,True
-5.812451435718685,-8.489452361362055,True
-5.566031073220074,-9.108457536569663,True
-6.726525202807453,-7.202475618920289,True
-5.582797855138779,-5.038820101134479,False
-6.239559850758976,-7.702385222953227,True
-6.745182558777742,-7.055514787673019,True
-4.681480269413441,-10.606717433248248,True
-5.463424765970558,-9.163921877741814,True
-6.520755444839597,-10.423895514673656,True
-5.769558003405109,-9.553666001185775,True
-5.135153949609958,-8.715709121897817,True
-5.247578447684646,-9.444782650098205,True
-5.138526166064872,-10.945204945074188,True
-7.450355381704867,-9.24803683587483,True
-6.795643800869584,-8.792767287365027,True
