XLMRoberta_corr_score,XLMRoberta_wrong_score,XLMRoberta_right
-0.7564386804170984,-1.9885032478330407,True
-1.4477749056838405,-3.316195364281157,True
-1.931296264587824,-3.4541666272942586,True
-4.470802004596828,-3.085743369466703,False
-4.470802004596828,-3.3388844433648046,False
-4.470802004596828,-2.337302588693092,False
-1.3281675712127858,-2.180383981471615,True
-1.309309950494935,-1.8791850637760945,True
-1.720344248523291,-3.267780386636822,True
-3.459139375761879,-3.371131930313175,False
-3.262139026679506,-3.990585433497472,True
-3.262139026679506,-2.086071936026036,False
-2.2742893687718606,-4.035161382156541,True
-2.0181351126132845,-4.2379938641014245,True
-2.4650719562177983,-4.266333254831677,True
-3.6639524716767484,-3.1167339535625485,False
-3.8858124472662894,-5.834304444722268,True
-2.349558218877064,-4.020544556782364,True
-1.9105221170611912,-5.1368291539596,True
-2.5906322439295764,-4.641122111111015,True
-1.2568623671671957,-3.9489486074417073,True
-2.2722187907837164,-6.184336584134144,True
-1.8265176075483396,-6.513487333560382,True
-1.1572269473999768,-1.968856754622215,True
-1.7573872999655578,-3.8913873845885973,True
-1.2710928022133885,-1.2166630829354592,False
-1.8756799141292504,-1.8593965785898035,False
-1.752946505892396,-4.967968295297396,True
-1.2562191103497753,-2.2158740499813576,True
-0.18493058802899517,-0.9168242172357471,True
-2.191034184219057,-3.4076066320762037,True
-1.064340140817674,-2.192181792068166,True
-2.0792666064711134,-4.083500772717849,True
-1.5730368064996583,-3.810604221529502,True
-2.39496798068285,-3.7564104557307227,True
-1.338159509826154,-1.515399614875787,True
-1.4666374088255907,-3.345058054965193,True
-1.6877134395852207,-3.063530573142796,True
-1.7467174832690944,-1.1674133682245156,False
-2.033533275427544,-2.9560729914875186,True
-2.569473543128697,-2.6855761230362987,True
-2.569473543128697,-3.54928233308965,True
-1.8400571147420643,-4.645245763402879,True
-1.8848583021590457,-3.4726530668787228,True
-3.276939974519337,-4.0691557400652005,True
-1.6013067237719143,-3.5292266823580576,True
-3.8040358582402405,-6.73839012318543,True
-4.800476634336519,-5.245633654500428,True
-4.349032505565057,-5.580326371093103,True
-0.6981558890077973,-1.7470233375238928,True
-1.5915521539249715,-2.2344259687015438,True
-1.1972496353746465,-4.78599918014952,True
-0.9200076427530601,-1.2017795914434828,True
-1.7860752413216687,-1.5848502313063364,False
-2.0571074134950322,-2.99522757205543,True
-3.2548937164247036,-5.004476174744519,True
-0.5844206408752749,-2.8572360956226475,True
-3.0655668084000354,-5.328506236743932,True
-1.6568891636052285,-2.3172907244135987,True
-1.4224797117885828,-3.7828384432687017,True
-3.345448518980346,-4.017396540055415,True
-0.30921171231893824,-0.6717513784136496,True
-3.1193281239328723,-3.928081044867415,True
-1.5652716223248717,-0.8982094172533834,False
-1.8356867215225066,-5.31245721484629,True
-2.7720424245955657,-4.692971119839866,True
-2.2107013751067117,-6.123553244280629,True
-1.0849147556267174,-4.449821765476372,True
-2.2190615658728383,-5.091535664014376,True
-1.6406838461058215,-4.584268426999592,True
-1.3716157712973653,-5.792509269596646,True
-2.9141337762921466,-3.977516430431154,True
-2.821786126499319,-5.174130866229201,True
-2.498691308847305,-4.525289156716099,True
-3.744021550644902,-4.4646126891322115,True
-3.2157479454508575,-4.059085880682687,True
-3.48157916270884,-5.729660324804302,True
-3.713460831237171,-6.013701422623334,True
-3.4912622753618052,-3.6399758223352756,True
-0.5962674625799991,-0.8750134011497721,True
-2.1283577796384634,-3.7482402328596436,True
-2.4660259562706415,-4.559791296985168,True
-2.5211571681397293,-3.4155908122661964,True
-2.6064525251631494,-5.053985625946552,True
-2.7437459954871883,-4.191850626690211,True
-3.534842865142208,-5.152395386633414,True
-2.3244040412828326,-2.0552990689873694,False
-2.424454862533821,-3.092658166275214,True
-2.7142218028369824,-2.956582711823285,True
-0.33220067428677186,-0.7975777783010725,True
-0.9203046640337561,-1.1899849972731318,True
-2.1238122660788576,-2.980749953850136,True
-1.5284476396207336,-2.680396280489125,True
-1.5961950820831892,-4.090389752629619,True
-1.630618020123802,-4.643868772080168,True
-1.6899204030632973,-6.0260248999038595,True
