RobBERT_corr_score,RobBERT_wrong_score,RobBERT_right
-12.251977627093975,-12.213161321786734,False
-12.502198298772177,-12.092063506444296,False
-12.513040249164288,-12.21662242595966,False
-12.364259243011475,-12.08016850398137,False
-11.732613643010458,-11.598686377207438,False
-12.075301170349121,-12.098461811359112,True
-12.031525373458862,-11.855762243270874,False
-12.386128132159893,-12.067037362318773,False
-12.606369336446127,-12.399471839269003,False
-11.850234587987265,-11.586565335591635,False
-12.328569412231445,-12.293713229043144,False
-12.5108522772789,-12.322032630443573,False
-12.270358971187047,-12.309212616511754,True
-12.608794280460902,-12.47619662966047,False
-12.200974400838216,-12.155060958862304,False
-12.542384803295135,-12.458120942115784,False
-12.11849733988444,-12.054018910725912,False
-12.072905540466309,-12.019250136155348,False
-12.561784608023506,-12.368521622249059,False
-11.962936782836914,-11.931892077128092,False
-12.273817879813057,-11.800992727279663,False
-12.193128373887804,-11.995566749572754,False
-11.904906696743435,-11.921138477325439,True
-12.85032091140747,-12.804240313443271,False
-11.854662895202637,-11.753611246744791,False
-12.127063857184517,-11.856556510925293,False
-12.521052769252233,-12.319426774978638,False
-12.055256938934326,-12.150011429419884,True
-11.702569882074991,-11.608686765034994,False
-12.610658740997314,-12.601722240447998,False
-11.94994762965611,-11.838354706764221,False
-12.316137313842773,-12.05145788192749,False
-11.686311721801758,-11.578657388687134,False
-12.176246234348842,-11.82109522819519,False
-11.957529612949916,-12.164172490437826,True
-11.769985607692174,-11.828481435775757,True
-12.11150060381208,-11.638088120354546,False
-11.706592977046967,-11.701726138591766,False
-11.990235582987468,-12.049295934041341,True
-11.260558296652402,-11.32865255019244,True
-12.350051366365873,-12.384755207942082,True
-11.602800687154135,-11.693951479593913,True
-12.964135430075906,-12.784578756852584,False
-11.918076117833456,-11.813896179199219,False
-13.10012505271218,-13.02481391213157,False
-12.334193420410156,-12.168682797749836,False
-12.122991735284979,-12.177787520668723,True
-12.24601901661266,-12.273758281360973,True
-12.094884265552867,-12.08507321097634,False
-12.25098311106364,-12.294824536641439,True
-12.119884286608015,-12.03693539755685,False
-12.143792519202599,-12.085624254666842,False
-11.914036273956299,-11.834690952301026,False
-12.169987971966084,-12.160894320561336,False
-12.064431924086351,-11.989170367901142,False
-12.137842995779854,-12.167216982160296,True
-11.73202815422645,-11.748344201308031,True
-11.829103469848633,-11.857428770798903,True
-11.93610117985652,-11.951780759371244,True
-12.224520903367262,-12.205256315378042,False
-11.896407494178185,-11.834954481858473,False
-12.097012739915113,-12.11837100982666,True
-12.315648078918457,-12.326462030410767,True
-12.512421261180531,-12.403120214288885,False
-12.048930803934732,-11.926045735677084,False
-12.098464330037435,-12.145792007446289,True
-11.63087524686541,-11.612929957253593,False
-11.786465791555552,-11.865940680870644,True
-11.8508169000799,-11.936858003789728,True
-12.23807962735494,-12.14504599571228,False
-12.391462871006556,-12.468897660573324,True
-11.970892125909979,-12.130217456817627,True
-12.40170760154724,-12.47532858167376,True
-12.184820890426636,-12.125982944781963,False
-12.084064190204327,-12.174506732395717,True
-11.031887559329762,-11.117795832016888,True
-11.322703778743744,-11.388160943984985,True
-12.036980311075846,-11.838208278020224,False
-12.271404006264426,-12.254663546880087,False
-12.563518810272218,-12.38911013169722,False
-12.927521272139115,-12.711885372797648,False
-12.462459304115988,-12.178768078486124,False
-12.872618118921915,-12.582742929458618,False
-11.355767631530762,-11.61413680182563,True
-11.136357625325521,-11.294223853519984,True
-12.328385273615519,-12.561244090398153,True
-11.695167032877604,-11.827217801411946,True
-12.327553899664627,-12.125916163126627,False
-11.253171471988454,-11.370336476494284,True
-11.538001012802123,-11.61420451893526,True
-11.586997873642865,-11.714701917436388,True
-12.069537865488153,-11.857204888996325,False
-12.428107619285583,-12.178351783752442,False
-12.9821085135142,-12.678376265934535,False
-11.976097400371845,-12.015140240009014,True
-11.894821607149565,-11.98571329850417,True
-12.50400479634603,-12.65087898572286,True
-12.249849319458008,-12.068651008605958,False
-11.426852959852953,-11.497499759380634,True
-12.95140955183241,-13.117610386439733,True
-11.247193745204381,-11.330973400789148,True
-11.296257972717285,-11.266955712262321,False
-11.365043027060372,-11.290353831122903,False
-12.018063735961913,-11.754057537425648,False
-11.761269396001643,-11.741698980331421,False
-11.41831466129848,-11.379493985857282,False
-11.41831466129848,-11.376405784061976,False
-12.240061393150917,-12.149030171907865,False
-12.941746962697882,-12.896465602673983,False
-12.073602867126464,-11.999959500630696,False
-12.044393009609646,-12.16850414276123,True
-12.021584192911783,-12.102884610493978,True
-11.803314152885886,-11.355517796107701,False
-12.195827279772077,-12.155869960784912,False
-11.728364849090577,-11.749839162826538,True
-11.686056911945343,-11.68908840417862,True
-11.839377975463867,-12.020009517669678,True
-11.672214190165201,-11.753510030110677,True
-12.114169707665077,-12.083548399118277,False
-12.24545955657959,-12.334998071193695,True
-11.773247155276211,-11.928568146445535,True
-12.360934257507324,-12.303440025874547,False
-12.61489909035819,-12.504019328526088,False
-11.571537399291993,-11.448975896835327,False
-10.824080553921787,-10.714040279388428,False
-12.335221396552193,-12.355519082811144,True
-11.822676420211792,-11.919233751296996,True
-11.855676737698642,-11.65296966379339,False
-12.00796298980713,-12.033976125717164,True
-12.029065799713134,-11.684893608093262,False
-11.923342921517111,-11.858237743377686,False
-11.493183612823486,-11.279165983200073,False
-12.015083386347843,-11.946455001831055,False
-12.015083386347843,-11.924757150503305,False
-12.357477108637491,-12.31416622797648,False
-12.357477108637491,-12.40802804629008,True
-11.702889306204659,-11.796212264469691,True
-11.54613379069737,-11.699048246656146,True
-12.052576488918728,-12.005857361687553,False
-12.168173551559448,-12.2247578014027,True
-12.383195559183756,-12.327741702397665,False
-11.399835314069476,-11.3526964868818,False
-12.411973571777343,-12.380071512858073,False
-11.922934412956238,-11.83438241481781,False
-12.252643183657998,-12.329837698685495,True
-11.707530657450357,-11.740352694193522,True
-11.28086006641388,-11.487558603286743,True
-11.59366064805251,-11.597160082596998,True
-11.86550969343919,-11.96407259427584,True
-11.236516773700714,-11.315596008300782,True
-11.739597100477953,-11.893232859097994,True
-11.480567114693779,-11.63311208997454,True
-11.260231324604579,-11.657601152147565,True
-12.278651110331218,-12.417880757649739,True
-11.858786662419638,-12.275193214416504,True
-12.020736781033603,-11.82443870197643,False
-11.571960882707076,-11.553647301413797,False
-12.54099154472351,-12.582843939463297,True
-11.736108303070068,-11.644974776676722,False
-12.365327644348145,-12.453111839294433,True
-11.944875081380209,-11.898572794596355,False
-11.471611976623535,-11.46495785032,False
-11.820329602559408,-11.781759134928386,False
-11.530256858238808,-11.92290727297465,True
-12.194540610680214,-12.256587835458609,True
-12.220091526324932,-12.217381770794209,False
-12.039604620500045,-12.162432497197932,True
-12.035901188850403,-11.946858644485474,False
-11.822741190592447,-11.755899349848429,False
-11.627272401537214,-11.685757773263115,True
