RobBERT_large_corr_score,RobBERT_large_wrong_score,RobBERT_large_right
-9.810183709221226,-9.768395044973918,False
-8.948811839227206,-9.43828068444362,True
-7.718935434590094,-8.602896837781493,True
-9.677948715897012,-10.042038882084723,True
-9.10968778940982,-9.008073470272523,False
-8.248757220721538,-9.27105703790273,True
-7.003919839859009,-7.514098307292443,True
-9.341821492864536,-7.897169200977909,False
-9.661889922889797,-9.879591757600958,True
-10.261062042279677,-10.451803944327615,True
-8.419574083207408,-8.336892680766491,False
-9.787419445225169,-9.722624486597852,False
-8.88165177089783,-9.65147897352775,True
-8.802929193736054,-8.626744928948272,False
-9.106893886412893,-9.157255610717195,True
-7.857508264918579,-8.030265821929788,True
-7.994273542027388,-9.07724113124781,True
-9.921363178640604,-9.07688184082508,False
-7.910551202749567,-8.441423259941596,True
-9.741896337519089,-9.229881704474488,False
-12.665212061670092,-13.525578260421753,True
-9.44096534087536,-9.988390828938767,True
-10.95775873164336,-10.730681097507476,False
